"timestamp","symbol","open","high","low","close","trades","volume","vwap","lastSize","turnover","homeNotional","foreignNotional"
"2015-02-10T00:00:00.000Z","XBTH15",233,238.84,231,231,6,1041,236.084,1,245763200,2.457632,580.2194337
"2015-02-11T00:00:00.000Z","XBTH15",231,235,229,231,6,3500,231.317,500,809610000,8.0961,1872.8990419999998
"2015-02-12T00:00:00.000Z","XBTH15",231,234.73,233,233,5,1601,234.303,100,375119000,3.75119,878.9175244999999
"2015-02-13T00:00:00.000Z","XBTH15",233,234,230,232,9,263,232.072,110,61035000,0.61035,141.64577
"2015-02-14T00:00:00.000Z","XBTH15",232,255.04,234,251,23,5427,246.339,500,1336882920,13.3688292,3294.272780058
"2015-02-15T00:00:00.000Z","XBTH15",251,270.65,251.21,270.65,13,5203,256.863,201,1336460390,13.3646039,3434.1367722010004
"2015-02-16T00:00:00.000Z","XBTH15",270.65,280,245,245,47,17556,257.18,1,4515044510,45.150445100000006,11627.472682362997
"2015-02-17T00:00:00.000Z","XBTH15",245,275,244.19,249,14,6511,247.981,500,1614601900,16.146019,4004.03245761
"2015-02-18T00:00:00.000Z","XBTH15",249,256,246,256,8,3235,251.206,500,812651140,8.1265114,2041.732402894
"2015-02-19T00:00:00.000Z","XBTH15",256,257,245,245,8,4750,251.835,500,1196217500,11.962174999999998,3013.2565967500004
"2015-02-20T00:00:00.000Z","XBTH15",245,255,249,255,4,2000,252,500,504000000,5.039999999999999,1270.1799999999998
"2015-02-21T00:00:00.000Z","XBTH15",255,255,255,255,0,0,,,0,0,0
"2015-02-22T00:00:00.000Z","XBTH15",255,262,204,254,9,1814,227.812,25,413251200,4.132512,951.8016704
"2015-02-23T00:00:00.000Z","XBTH15",254,258.37,248.94,248.94,2,2,253.655,1,507310,0.0050731000000000005,1.287261805
"2015-02-24T00:00:00.000Z","XBTH15",248.94,245,245,245,1,500,245,500,122500000,1.225,300.125
"2015-02-25T00:00:00.000Z","XBTH15",245,249.54,249,249,2,256,249.002,255,63744540,0.6374454,158.725252116
"2015-02-26T00:00:00.000Z","XBTH15",249,249,246.01,249,2,1000,247.505,500,247505000,2.4750500000000004,612.6096005
"2015-02-27T00:00:00.000Z","XBTH15",249,249,249,249,0,0,,,0,0,0
"2015-02-28T00:00:00.000Z","XBTH15",249,267.45,246.03,266,26,7383,261.961,2,1934056950,19.3405695,5067.588465374998
"2015-03-01T00:00:00.000Z","XBTH15",266,263,263,263,1,500,263,500,131500000,1.315,345.84499999999997
"2015-03-02T00:00:00.000Z","XBTH15",263,264,254,264,62,23385,262.326,100,6134491000,61.34491000000009,16093.418020099993
"2015-03-03T00:00:00.000Z","XBTH15",264,290.12,269,286.75,51,38726,281.899,953,10916812420,109.16812419999998,30786.781262636006
"2015-03-04T00:00:00.000Z","XBTH15",286.75,299,279.68,295,50,27344,291.03,500,7957919390,79.57919389999996,23165.342430719007
"2015-03-05T00:00:00.000Z","XBTH15",295,299,233.6,283.72,46,19548,277.119,1000,5417115470,54.171154699999995,15089.221291337002
"2015-03-06T00:00:00.000Z","XBTH15",283.72,294,269.72,287.54,24,3932,275.827,1,1084551210,10.845512100000002,2992.723112707
"2015-03-07T00:00:00.000Z","XBTH15",287.54,286,279,282,8,3521,282.437,500,994462230,9.9446223,2808.874836643
"2015-03-08T00:00:00.000Z","XBTH15",282,289,280,289,7,1131,284.633,428,321920000,3.2192,916.4391999999998
